id,question,ground_truth_answer,question_type,difficulty,source_location,notes
1,"What is the title of this paper?","Prey size and ecological separation in spinosaurid theropods based on heterodonty and rostrum shape",factual_extraction,easy,"Title/p.1331","Direct lookup"
2,"Who are the authors of this paper?","Domenic C. D'Amore, Evan Johnson-Ransom, Eric Snively, and David W. E. Hone",factual_extraction,easy,"Author list/p.1331",""
3,"In which journal was this paper published, and what is the DOI?","The Anatomical Record; DOI 10.1002/ar.25563",factual_extraction,easy,"Header/p.1331",""
4,"What are the two major clades into which Spinosauridae is split?","Spinosaurinae and Baryonychinae",factual_extraction,easy,"Introduction/p.1332","Tests recall of key taxonomy"
5,"How many crocodylian specimens and species were used for the alveolar area dataset, and how many total alveoli were measured?","16 crocodylian specimens covering 10 species; combined with 18 spinosaurid specimens (10 species) the total was 1346 alveoli measured across both groups",numerical,medium,"Methods/p.1333","Tests precise numeric recall"
6,"What proxy did the authors use for tooth size, and why?","They used alveolar area (the area of the alveolar opening) as a proxy for tooth size, because archosaurs are thecodont with socketed teeth, so the alveolus reflects the size of the tooth root/crown housed in it",abstractive,medium,"Methods/p.1333",""
7,"What equation did the authors use to calculate alveolar area?","Alveolar area = pi * (length/2) * (width/2), i.e. treating the alveolus as an ellipse using mesial-distal length and labial-lingual width",factual_extraction,medium,"Methods/p.1333","Exact formula recall"
8,"What two size covariates were used to normalize spinosaurid specimens of different completeness, and how is each defined?","Head width (HW): the linear distance between the caudal-most junction at the quadrate and quadratojugals on the lateral margins of the skull; and rosette width (RW): the maximum width at the premaxilla (the terminal rosette region)",abstractive,medium,"Methods/p.1333",""
9,"What formula was used to calculate morphological disparity (heterodonty), and who originally derived it?","MD = (sum of D_i squared)/(m-1), where D_i is the difference between a given alveolar area and the mean for the whole specimen, and m is the number of alveolar positions; the formula was derived by Foote (1993)",numerical,hard,"Methods/p.1334","Requires exact formula + attribution"
10,"How many tooth crowns were included in total in the crown-shape geometric morphometric analysis, and why was a non-spinosaurid group added?","732 crowns total; teeth from Megalosauridae, the sister clade to Spinosauridae, were added to compare the derived spinosaurid dental condition against a more typical theropod condition",abstractive,medium,"Methods/p.1333-1334",""
